umur,jenis_kelamin,tinggi_cm,berat_kg,bmi,label
8,L,121.7,22.7,15.34,Normal
12,P,144.7,40.0,19.09,Gemuk
11,P,140.1,35.0,17.82,Normal
6,L,111.3,17.0,13.71,Kurus
7,P,117.2,19.7,14.32,Normal
7,L,115.4,22.2,16.63,Normal
9,P,131.9,27.1,15.59,Normal
7,P,113.0,19.0,14.84,Normal
9,L,128.9,24.1,14.5,Normal
7,P,117.9,20.4,14.67,Normal
6,L,112.0,20.6,16.45,Normal
11,P,141.1,38.2,19.19,Gemuk
12,L,144.0,44.3,21.37,Gemuk
7,P,115.4,19.1,14.38,Normal
12,P,148.2,38.6,17.56,Normal
8,P,123.5,26.3,17.25,Normal
8,P,120.8,27.3,18.69,Gemuk
7,P,114.0,21.1,16.19,Normal
9,P,129.4,24.4,14.57,Normal
8,L,124.4,28.3,18.28,Gemuk
8,P,122.0,23.7,15.91,Normal
6,P,116.0,17.0,12.63,Kurus
6,L,116.0,18.4,13.7,Kurus
8,L,122.2,20.0,13.38,Kurus
6,L,116.7,19.0,13.92,Kurus
6,L,116.8,18.3,13.38,Kurus
8,L,122.8,23.2,15.41,Normal
10,P,138.4,31.8,16.6,Normal
10,P,133.0,27.7,15.63,Normal
6,L,117.1,22.0,16.05,Normal
11,P,137.8,35.5,18.67,Gemuk
8,L,121.7,24.9,16.8,Normal
6,P,111.4,18.6,14.97,Normal
8,L,122.2,29.0,19.42,Gemuk
8,L,118.3,25.4,18.16,Gemuk
7,P,122.6,19.4,12.87,Kurus
11,L,140.5,34.8,17.61,Normal
11,P,140.3,32.8,16.66,Normal
7,L,123.0,23.6,15.62,Normal
8,L,120.7,25.2,17.26,Normal
6,L,113.2,22.0,17.16,Normal
11,P,137.0,38.1,20.33,Gemuk
8,P,122.0,23.4,15.72,Normal
6,P,117.1,17.0,12.39,Kurus
9,L,132.5,29.3,16.68,Normal
11,L,135.5,30.5,16.61,Normal
8,P,125.5,22.3,14.16,Normal
10,P,134.8,31.8,17.53,Normal
11,P,138.5,38.5,20.08,Gemuk
10,L,139.6,30.1,15.45,Normal
6,L,117.1,20.9,15.22,Normal
12,L,144.9,44.2,21.05,Gemuk
8,L,125.8,22.5,14.21,Normal
8,P,124.7,27.1,17.4,Normal
12,L,141.7,40.0,19.94,Gemuk
7,P,119.8,18.0,12.54,Kurus
7,L,121.7,21.9,14.76,Normal
8,L,125.9,23.5,14.85,Normal
12,P,147.0,39.5,18.28,Gemuk
12,L,145.2,37.6,17.85,Normal
9,P,129.4,30.5,18.22,Gemuk
11,P,141.1,34.6,17.37,Normal
7,L,122.0,18.0,12.1,Kurus
6,P,113.3,17.0,13.24,Kurus
10,L,139.2,29.6,15.28,Normal
11,L,142.6,34.3,16.84,Normal
11,P,137.8,36.8,19.37,Gemuk
11,L,138.0,37.0,19.43,Gemuk
11,P,143.7,37.8,18.34,Gemuk
9,L,124.6,22.0,14.18,Normal
6,P,111.5,22.0,17.7,Normal
12,P,147.3,39.0,17.98,Normal
11,P,143.4,36.2,17.59,Normal
9,P,126.4,28.3,17.7,Normal
8,L,122.2,20.7,13.85,Kurus
10,P,131.7,28.5,16.42,Normal
12,P,149.0,36.1,16.29,Normal
10,L,128.8,26.4,15.93,Normal
8,L,118.0,20.0,14.36,Normal
11,L,141.4,35.9,17.97,Normal
7,P,118.9,18.6,13.13,Kurus
11,P,139.8,33.2,16.99,Normal
10,P,131.5,31.7,18.35,Gemuk
12,P,145.9,45.3,21.29,Gemuk
6,P,114.2,17.0,13.03,Kurus
7,P,118.2,25.0,17.88,Normal
8,L,127.0,21.5,13.33,Kurus
11,L,141.4,33.5,16.75,Normal
9,L,127.1,33.2,20.52,Gemuk
9,L,125.5,25.7,16.35,Normal
10,P,137.9,27.7,14.57,Normal
12,P,143.1,39.5,19.29,Gemuk
8,L,120.9,20.7,14.15,Normal
7,P,119.6,19.5,13.64,Kurus
11,P,137.0,37.1,19.8,Gemuk
6,L,113.4,17.0,13.21,Kurus
11,P,137.4,34.5,18.28,Gemuk
12,P,145.1,37.7,17.88,Normal
11,L,142.2,42.7,21.1,Gemuk
12,P,146.5,47.0,21.89,Gemuk
8,P,121.7,22.6,15.26,Normal
7,L,117.7,24.5,17.66,Normal
11,L,144.1,39.4,18.95,Gemuk
7,L,114.3,21.4,16.37,Normal
10,L,135.4,31.6,17.21,Normal
7,P,121.1,18.0,12.28,Kurus
6,L,111.6,21.7,17.42,Normal
7,L,117.8,18.5,13.3,Kurus
11,P,138.6,37.8,19.68,Gemuk
10,L,137.3,27.0,14.32,Normal
10,P,132.7,26.3,14.94,Normal
8,P,124.3,28.5,18.48,Gemuk
12,L,146.5,35.4,16.52,Normal
6,L,112.7,19.5,15.36,Normal
12,P,147.8,35.0,16.0,Normal
12,L,149.3,38.5,17.27,Normal
9,L,131.9,28.8,16.57,Normal
12,L,145.1,43.4,20.62,Gemuk
9,L,129.9,27.8,16.49,Normal
6,P,110.5,22.0,18.0,Gemuk
11,L,139.0,34.1,17.64,Normal
7,L,115.7,19.7,14.73,Normal
10,P,129.4,29.5,17.61,Normal
8,P,118.7,21.4,15.17,Normal
12,P,142.4,36.4,17.96,Normal
7,P,118.4,20.2,14.46,Normal
8,P,121.5,29.0,19.63,Gemuk
8,P,123.5,23.3,15.25,Normal
11,L,139.2,37.0,19.1,Gemuk
11,P,146.2,34.1,15.93,Normal
10,P,129.9,33.0,19.55,Gemuk
10,P,135.4,33.3,18.14,Gemuk
7,P,113.1,22.3,17.42,Normal
6,L,112.7,17.0,13.37,Kurus
7,P,114.2,20.6,15.77,Normal
9,P,132.4,24.8,14.15,Normal
10,P,133.9,31.2,17.4,Normal
7,P,120.3,24.4,16.87,Normal
8,P,123.6,23.9,15.65,Normal
7,L,118.6,18.0,12.8,Kurus
9,L,132.6,25.9,14.69,Normal
11,L,143.0,33.1,16.19,Normal
7,P,118.3,20.0,14.29,Normal
10,P,134.3,35.6,19.75,Gemuk
6,L,113.8,19.7,15.18,Normal
7,P,115.8,25.0,18.63,Gemuk
6,P,114.8,19.5,14.77,Normal
10,L,129.5,33.2,19.81,Gemuk
6,L,117.8,18.3,13.17,Kurus
12,P,148.1,36.9,16.82,Normal
9,P,126.9,33.0,20.49,Gemuk
6,L,115.4,17.0,12.77,Kurus
11,L,143.5,42.7,20.75,Gemuk
6,P,114.2,17.0,13.04,Kurus
6,P,111.9,17.0,13.57,Kurus
7,L,118.8,19.6,13.89,Kurus
9,P,126.9,22.9,14.24,Normal
7,L,115.9,22.4,16.66,Normal
11,L,138.0,32.4,17.0,Normal
9,P,131.3,29.3,17.01,Normal
8,P,122.0,24.2,16.25,Normal
8,L,120.3,23.6,16.33,Normal
7,P,118.8,20.4,14.48,Normal
9,L,131.2,22.0,12.78,Kurus
12,P,148.3,35.4,16.08,Normal
11,L,144.8,35.2,16.8,Normal
10,L,137.0,34.4,18.33,Gemuk
12,L,148.1,39.2,17.86,Normal
11,L,142.2,33.0,16.35,Normal
7,P,116.2,23.2,17.21,Normal
8,L,126.5,23.5,14.69,Normal
7,P,113.0,25.0,19.58,Gemuk
9,L,124.8,30.4,19.51,Gemuk
10,P,135.8,35.7,19.39,Gemuk
10,P,136.1,36.6,19.77,Gemuk
7,P,117.6,18.0,13.01,Kurus
9,L,128.9,31.3,18.84,Gemuk
6,L,114.2,22.0,16.86,Normal
8,L,122.3,22.8,15.27,Normal
6,L,113.2,22.0,17.18,Normal
7,L,114.8,24.8,18.85,Gemuk
8,P,120.3,22.5,15.52,Normal
8,L,124.4,21.6,13.95,Kurus
11,P,142.1,31.5,15.59,Normal
6,P,110.5,22.0,18.02,Gemuk
7,P,115.5,22.1,16.56,Normal
11,P,135.4,30.2,16.45,Normal
9,L,129.6,31.3,18.6,Gemuk
9,L,128.2,27.2,16.58,Normal
10,L,134.3,34.3,19.04,Gemuk
6,P,116.7,21.4,15.68,Normal
12,P,149.2,43.7,19.65,Gemuk
12,L,145.8,39.5,18.58,Gemuk
8,P,123.1,22.6,14.9,Normal
8,L,123.1,24.7,16.3,Normal
9,P,131.3,27.6,16.03,Normal
8,P,126.3,21.0,13.17,Kurus
10,P,136.9,35.3,18.84,Gemuk
11,P,141.8,36.9,18.34,Gemuk
7,L,113.5,22.0,17.07,Normal
8,P,126.2,29.0,18.2,Gemuk
6,L,111.8,20.9,16.73,Normal
9,P,123.5,31.5,20.66,Gemuk
11,P,138.2,34.1,17.84,Normal
7,L,116.4,23.4,17.28,Normal
12,L,147.2,38.1,17.58,Normal
9,L,128.2,31.0,18.88,Gemuk
6,L,116.2,17.0,12.58,Kurus
10,L,134.8,33.3,18.36,Gemuk
7,L,117.2,20.8,15.14,Normal
6,P,114.7,18.7,14.24,Normal
6,P,113.5,17.0,13.2,Kurus
6,P,112.9,20.9,16.42,Normal
12,P,145.8,38.8,18.25,Gemuk
11,L,140.9,36.9,18.6,Gemuk
9,L,124.3,27.3,17.71,Normal
6,L,115.5,20.1,15.09,Normal
9,L,129.2,25.1,15.02,Normal
8,L,119.2,23.5,16.53,Normal
7,P,120.0,18.0,12.51,Kurus
8,P,127.2,20.0,12.37,Kurus
10,L,135.8,32.3,17.53,Normal
6,L,111.9,21.0,16.74,Normal
12,P,145.8,35.6,16.74,Normal
12,L,143.3,40.2,19.57,Gemuk
10,L,134.6,27.9,15.37,Normal
9,L,126.0,29.9,18.81,Gemuk
12,P,148.1,35.8,16.31,Normal
11,P,138.1,37.2,19.49,Gemuk
11,L,136.9,38.9,20.76,Gemuk
6,P,118.0,22.0,15.8,Normal
7,P,117.0,22.5,16.48,Normal
10,L,133.6,31.5,17.64,Normal
6,P,116.9,17.0,12.44,Kurus
12,L,147.0,41.6,19.24,Gemuk
11,L,138.2,37.2,19.49,Gemuk
12,L,143.5,40.3,19.57,Gemuk
10,P,133.8,26.9,15.01,Normal
6,L,113.2,19.9,15.56,Normal
11,L,143.0,30.6,14.97,Normal
6,L,118.0,17.0,12.21,Kurus
6,P,115.1,20.1,15.2,Normal
9,P,129.7,34.0,20.22,Gemuk
6,P,114.2,17.0,13.04,Kurus
9,L,131.0,25.3,14.77,Normal
12,P,145.8,42.6,20.03,Gemuk
10,L,134.3,27.7,15.36,Normal
6,P,115.8,17.0,12.68,Kurus
10,L,130.0,36.7,21.73,Gemuk
6,P,113.5,18.0,13.97,Kurus
11,P,143.4,34.3,16.68,Normal
8,P,127.0,24.4,15.14,Normal
6,P,111.6,17.2,13.82,Kurus
6,L,110.0,19.7,16.29,Normal
12,P,145.1,37.8,17.95,Normal
9,P,127.2,27.7,17.12,Normal
8,L,125.1,28.0,17.88,Normal
12,L,148.9,39.9,18.03,Gemuk
12,P,146.7,37.8,17.57,Normal
11,P,140.8,39.2,19.74,Gemuk
11,P,142.4,35.4,17.43,Normal
10,L,132.1,30.1,17.25,Normal
10,P,132.5,35.6,20.3,Gemuk
10,P,135.6,30.4,16.54,Normal
7,P,118.4,18.0,12.83,Kurus
6,L,118.0,20.1,14.46,Normal
6,P,117.2,22.0,16.02,Normal
7,L,119.0,21.0,14.79,Normal
11,P,139.6,35.7,18.31,Gemuk
9,P,125.7,29.2,18.49,Gemuk
12,P,145.0,36.0,17.12,Normal
10,L,133.4,33.5,18.82,Gemuk
10,P,138.2,29.0,15.18,Normal
10,P,133.8,35.5,19.81,Gemuk
6,L,118.0,17.3,12.42,Kurus
10,P,130.0,30.1,17.81,Normal
7,L,115.6,19.3,14.47,Normal
9,L,128.8,32.5,19.57,Gemuk
8,P,123.1,25.5,16.82,Normal
8,L,127.0,25.6,15.89,Normal
12,L,147.6,42.1,19.33,Gemuk
8,P,124.1,27.1,17.58,Normal
6,P,114.7,22.0,16.71,Normal
6,L,116.1,21.7,16.1,Normal
9,L,125.9,24.8,15.64,Normal
7,L,113.2,19.6,15.28,Normal
10,L,131.5,35.8,20.7,Gemuk
8,L,120.4,24.7,17.08,Normal
11,P,139.1,32.0,16.55,Normal
7,L,117.5,18.6,13.46,Kurus
8,L,121.2,22.5,15.32,Normal
6,P,114.2,17.9,13.68,Kurus
10,L,135.2,35.2,19.26,Gemuk
11,P,138.4,32.7,17.07,Normal
10,L,133.0,30.6,17.31,Normal
7,L,119.8,24.2,16.89,Normal
11,L,140.9,36.5,18.39,Gemuk
12,P,151.3,40.7,17.78,Normal
10,P,136.4,37.5,20.12,Gemuk
7,P,118.6,25.0,17.76,Normal
12,L,148.7,38.7,17.5,Normal
7,P,119.4,25.0,17.54,Normal
12,L,144.9,39.6,18.86,Gemuk
7,L,120.1,18.0,12.48,Kurus
9,L,130.3,29.8,17.58,Normal
9,P,133.0,28.9,16.32,Normal
8,P,123.4,28.7,18.82,Gemuk
8,L,122.6,21.6,14.4,Normal
11,L,140.5,36.1,18.29,Gemuk
8,P,122.0,21.4,14.38,Normal
9,L,125.7,29.0,18.37,Gemuk
10,L,137.5,33.2,17.54,Normal
8,P,121.5,24.4,16.51,Normal
9,L,126.2,29.6,18.56,Gemuk
9,L,126.0,22.7,14.28,Normal
11,P,137.8,33.9,17.84,Normal
6,P,116.2,20.7,15.33,Normal
6,L,112.5,17.0,13.44,Kurus
12,P,145.4,41.6,19.66,Gemuk
7,P,114.7,18.0,13.68,Kurus
7,L,117.6,18.0,13.01,Kurus
6,L,114.7,22.0,16.72,Normal
7,P,119.2,23.8,16.72,Normal
12,L,150.6,42.2,18.58,Gemuk
11,L,144.8,34.1,16.27,Normal
9,P,126.4,27.4,17.18,Normal
6,L,113.8,17.0,13.12,Kurus
7,P,115.1,24.1,18.22,Gemuk
12,L,145.1,38.3,18.17,Gemuk
9,L,130.2,31.8,18.74,Gemuk
9,L,128.0,25.2,15.4,Normal
6,P,111.2,21.8,17.63,Normal
9,L,126.6,29.6,18.45,Gemuk
11,L,142.3,36.8,18.16,Gemuk
7,L,117.6,19.0,13.73,Kurus
12,P,149.7,37.0,16.5,Normal
11,P,142.4,37.8,18.65,Gemuk
9,P,123.6,25.6,16.78,Normal
6,L,112.6,17.0,13.4,Kurus
9,L,125.5,27.3,17.35,Normal
10,L,131.3,33.3,19.32,Gemuk
12,P,145.1,39.2,18.64,Gemuk
10,L,132.9,30.4,17.24,Normal
10,L,133.4,28.9,16.24,Normal
11,P,138.9,40.3,20.89,Gemuk
7,P,115.7,18.0,13.44,Kurus
7,L,115.5,23.8,17.8,Normal
6,P,115.1,18.3,13.84,Kurus
8,P,122.7,24.5,16.27,Normal
10,P,137.5,29.4,15.53,Normal
11,L,139.3,33.6,17.33,Normal
10,P,133.1,38.0,21.46,Gemuk
11,L,140.7,31.2,15.74,Normal
8,L,123.6,22.2,14.54,Normal
10,P,134.4,32.1,17.74,Normal
7,L,118.2,25.0,17.9,Normal
8,L,120.0,24.7,17.15,Normal
7,L,117.5,23.8,17.26,Normal
7,L,117.8,25.0,18.03,Gemuk
11,P,139.8,38.8,19.83,Gemuk
9,L,127.1,28.0,17.33,Normal
8,L,122.7,25.4,16.87,Normal
8,P,126.8,22.7,14.12,Normal
6,L,116.4,22.0,16.23,Normal
9,P,128.6,24.0,14.53,Normal
11,L,137.6,34.8,18.38,Gemuk
11,L,143.4,40.9,19.9,Gemuk
12,P,147.0,37.0,17.13,Normal
12,L,145.8,38.2,17.98,Normal
6,L,110.3,17.0,13.98,Kurus
11,P,143.0,34.3,16.79,Normal
9,L,124.9,30.0,19.26,Gemuk
12,L,145.4,40.1,18.96,Gemuk
10,P,134.9,31.0,17.02,Normal
10,P,137.2,35.4,18.78,Gemuk
8,P,119.8,24.3,16.92,Normal
8,L,118.0,24.9,17.91,Normal
7,P,117.8,23.2,16.7,Normal
12,P,147.6,42.8,19.65,Gemuk
8,L,126.2,27.7,17.4,Normal
12,P,148.9,37.3,16.81,Normal
12,P,141.4,39.2,19.6,Gemuk
7,L,118.5,25.0,17.8,Normal
9,L,125.8,28.4,17.94,Normal
11,L,141.5,33.7,16.85,Normal
8,P,122.7,25.4,16.84,Normal
10,P,139.6,30.8,15.79,Normal
7,L,113.3,21.9,17.04,Normal
7,P,117.9,25.0,17.98,Normal
11,P,146.0,33.2,15.6,Normal
9,P,129.6,32.4,19.31,Gemuk
9,P,127.8,32.1,19.63,Gemuk
7,L,118.6,23.1,16.43,Normal
8,L,122.7,28.8,19.13,Gemuk
8,P,121.0,21.3,14.57,Normal
8,L,124.1,28.7,18.65,Gemuk
10,P,133.5,29.8,16.71,Normal
11,L,143.2,35.5,17.3,Normal
6,P,110.0,17.0,14.05,Normal
7,L,116.7,22.8,16.77,Normal
12,P,145.2,35.9,17.05,Normal
11,P,140.7,36.2,18.28,Gemuk
11,P,147.0,36.9,17.06,Normal
11,L,140.3,35.9,18.25,Gemuk
6,L,112.6,21.6,17.02,Normal
7,L,122.7,18.2,12.08,Kurus
10,P,134.6,33.3,18.37,Gemuk
12,L,145.5,44.4,20.98,Gemuk
10,L,132.1,34.6,19.81,Gemuk
12,P,142.7,32.2,15.82,Normal
7,P,115.2,21.4,16.09,Normal
9,L,126.8,34.0,21.14,Gemuk
12,L,147.2,39.9,18.41,Gemuk
10,P,135.2,32.4,17.7,Normal
8,P,124.4,25.8,16.69,Normal
7,L,117.8,22.5,16.24,Normal
11,L,139.8,31.9,16.3,Normal
8,P,121.8,20.0,13.51,Kurus
8,L,122.2,22.1,14.84,Normal
8,L,122.1,26.6,17.84,Normal
12,P,142.7,34.4,16.87,Normal
6,P,111.0,20.1,16.29,Normal
11,P,145.1,37.7,17.93,Normal
12,P,147.4,42.4,19.52,Gemuk
8,L,123.6,24.9,16.29,Normal
12,P,145.8,36.8,17.3,Normal
9,P,129.4,23.7,14.15,Normal
6,L,118.0,22.0,15.8,Normal
8,L,124.1,21.7,14.07,Normal
10,L,132.3,30.6,17.46,Normal
11,P,145.6,33.6,15.84,Normal
11,P,142.2,36.7,18.17,Gemuk
10,P,132.7,29.8,16.93,Normal
8,P,128.0,21.6,13.19,Kurus
11,P,138.1,34.1,17.9,Normal
8,L,121.7,20.0,13.51,Kurus
6,P,118.0,22.0,15.8,Normal
10,P,134.3,34.9,19.33,Gemuk
9,P,131.6,30.7,17.74,Normal
8,P,118.6,26.0,18.5,Gemuk
6,P,118.0,19.2,13.77,Kurus
8,L,121.7,23.9,16.17,Normal
7,P,115.7,20.9,15.61,Normal
7,L,122.2,20.0,13.41,Kurus
11,L,141.2,30.5,15.27,Normal
11,L,140.9,33.3,16.75,Normal
6,L,111.8,21.0,16.8,Normal
10,P,132.7,34.5,19.61,Gemuk
11,L,143.4,38.8,18.9,Gemuk
11,L,142.8,32.1,15.72,Normal
10,P,133.5,31.6,17.72,Normal
11,P,137.8,35.4,18.66,Gemuk
7,P,117.3,23.5,17.1,Normal
10,L,131.5,32.1,18.59,Gemuk
7,P,118.7,20.1,14.24,Normal
10,L,135.1,31.2,17.1,Normal
7,P,113.0,20.9,16.34,Normal
9,P,126.9,24.6,15.28,Normal
8,L,121.7,29.0,19.57,Gemuk
6,P,111.9,18.0,14.42,Normal
10,P,130.0,33.7,19.96,Gemuk
12,L,145.1,35.7,16.95,Normal
6,L,114.8,19.5,14.81,Normal
6,P,116.4,22.0,16.25,Normal
8,P,125.8,25.6,16.2,Normal
7,P,118.6,22.9,16.25,Normal
11,P,142.0,37.2,18.45,Gemuk
7,P,120.1,20.3,14.06,Normal
9,P,128.9,23.7,14.25,Normal
10,L,133.9,34.8,19.37,Gemuk
10,P,132.3,31.8,18.14,Gemuk
8,P,122.2,22.1,14.76,Normal
12,P,147.9,37.3,17.06,Normal
7,L,119.0,18.0,12.71,Kurus
11,L,141.9,35.4,17.58,Normal
11,L,141.0,37.1,18.68,Gemuk
10,P,128.0,29.3,17.89,Normal
6,L,116.3,19.2,14.16,Normal
12,L,149.5,38.9,17.39,Normal
9,P,123.0,26.8,17.71,Normal
12,L,143.1,42.9,20.93,Gemuk
12,P,146.3,36.2,16.88,Normal
6,L,116.5,21.6,15.91,Normal
7,L,114.9,18.1,13.72,Kurus
12,L,147.5,38.1,17.53,Normal
7,L,114.8,21.8,16.52,Normal
7,P,117.5,20.3,14.69,Normal
11,P,137.0,40.3,21.45,Gemuk
8,L,122.8,21.6,14.31,Normal
7,P,119.0,19.2,13.55,Kurus
11,L,138.7,33.6,17.46,Normal
11,L,142.7,37.0,18.16,Gemuk
7,L,119.9,25.0,17.39,Normal
7,P,115.4,24.2,18.2,Gemuk
11,L,141.9,38.4,19.07,Gemuk
12,P,151.2,36.0,15.76,Normal
7,L,117.8,20.9,15.09,Normal
7,P,118.7,22.0,15.58,Normal
6,L,116.1,20.3,15.03,Normal
10,L,132.9,32.7,18.54,Gemuk
8,P,122.2,20.0,13.4,Kurus
9,L,126.8,26.4,16.43,Normal
12,L,146.2,41.1,19.22,Gemuk
11,P,137.3,38.3,20.29,Gemuk
11,P,142.1,37.5,18.56,Gemuk
10,L,139.3,29.0,14.94,Normal
10,P,128.5,30.5,18.49,Gemuk
7,P,116.1,19.6,14.56,Normal
7,L,116.9,23.3,17.08,Normal
8,L,123.0,23.5,15.54,Normal
12,P,147.9,39.8,18.22,Gemuk
6,L,116.9,19.7,14.42,Normal
7,L,120.1,23.6,16.39,Normal
12,L,145.8,40.7,19.13,Gemuk
10,L,135.1,30.7,16.8,Normal
9,P,129.0,30.3,18.19,Gemuk
6,P,117.0,17.0,12.41,Kurus
12,P,149.8,42.9,19.11,Gemuk
8,P,123.0,26.3,17.36,Normal
6,P,118.0,18.3,13.11,Kurus
11,L,144.1,33.3,16.02,Normal
9,P,131.8,34.0,19.58,Gemuk
6,L,111.5,21.9,17.59,Normal
10,P,135.3,31.4,17.12,Normal
6,L,118.0,17.9,12.82,Kurus
7,P,115.4,18.0,13.53,Kurus
11,L,146.6,36.4,16.91,Normal
7,P,121.8,25.0,16.82,Normal
11,L,141.5,41.4,20.67,Gemuk
8,L,122.2,23.6,15.78,Normal
7,L,113.0,21.3,16.65,Normal
8,P,120.9,21.8,14.9,Normal
9,L,128.2,29.7,18.09,Gemuk
8,L,124.1,22.7,14.75,Normal
12,P,145.5,40.3,19.02,Gemuk
8,L,120.8,24.5,16.79,Normal
7,L,122.8,18.4,12.2,Kurus
10,P,133.6,34.0,19.05,Gemuk
10,P,135.8,33.3,18.06,Gemuk
11,L,141.6,30.9,15.42,Normal
11,P,135.0,29.8,16.35,Normal
11,L,140.6,33.9,17.14,Normal
7,P,114.6,18.9,14.36,Normal
11,P,136.4,40.5,21.76,Gemuk
11,P,142.2,36.5,18.06,Gemuk
7,L,116.0,21.7,16.17,Normal
10,L,135.4,38.0,20.73,Gemuk
6,P,115.3,17.0,12.79,Kurus
10,P,133.7,30.8,17.24,Normal
6,L,111.7,21.6,17.31,Normal
11,L,140.6,34.0,17.23,Normal
10,L,134.4,30.4,16.82,Normal
7,L,116.4,19.9,14.68,Normal
11,L,141.8,34.8,17.28,Normal
9,L,133.0,23.7,13.38,Kurus
8,L,125.3,26.5,16.85,Normal
12,P,144.4,38.1,18.25,Gemuk
8,P,123.9,24.6,16.05,Normal
12,P,140.6,39.4,19.93,Gemuk
12,P,149.6,36.8,16.44,Normal
8,L,119.8,25.2,17.54,Normal
12,L,145.2,41.7,19.77,Gemuk
7,P,121.6,21.8,14.75,Normal
9,L,130.2,32.8,19.35,Gemuk
11,L,145.0,29.4,13.98,Kurus
11,L,140.1,29.0,14.79,Normal
11,P,145.0,37.7,17.91,Normal
8,P,118.0,24.6,17.64,Normal
9,P,129.4,28.2,16.82,Normal
9,L,127.2,25.3,15.64,Normal
9,L,131.2,25.2,14.62,Normal
12,L,150.6,34.4,15.18,Normal
11,L,138.3,34.8,18.21,Gemuk
7,P,115.9,18.0,13.39,Kurus
7,L,115.2,22.9,17.22,Normal
10,P,133.8,25.0,13.96,Kurus
