Age,Gender,Gender_Encoded,Height,Weight,Status_Gizi
9.0,P,0,129.9,33.5,Overweight
12.0,L,1,146.9,38.1,Normal
11.0,L,1,136.4,37.8,Overweight
7.0,P,0,116.4,24.2,Normal
10.0,L,1,131.8,29.7,Normal
8.0,L,1,123.7,24.4,Normal
8.0,P,0,120.0,21.8,Normal
12.0,L,1,143.3,36.7,Normal
6.0,P,0,113.9,17.2,Underweight
6.0,L,1,111.3,17.6,Normal
10.0,P,0,130.4,33.0,Overweight
11.0,L,1,146.6,37.1,Normal
12.0,P,0,143.9,38.2,Overweight
12.0,L,1,143.3,40.2,Overweight
12.0,L,1,146.2,42.0,Overweight
7.0,P,0,120.9,21.2,Normal
12.0,L,1,147.8,39.3,Normal
12.0,P,0,143.4,37.5,Overweight
7.0,L,1,114.8,21.6,Normal
7.0,P,0,118.4,23.4,Normal
12.0,L,1,145.7,43.6,Overweight
8.0,L,1,120.4,23.6,Normal
10.0,L,1,133.9,28.9,Normal
12.0,P,0,141.8,36.3,Overweight
11.0,P,0,139.0,31.9,Normal
11.0,P,0,142.4,35.2,Normal
7.0,L,1,119.3,22.2,Normal
12.0,L,1,146.9,38.2,Normal
12.0,L,1,145.4,34.9,Normal
12.0,P,0,147.5,39.2,Normal
8.0,L,1,121.7,22.7,Normal
12.0,P,0,144.7,40.0,Overweight
11.0,P,0,140.1,35.0,Normal
6.0,L,1,111.3,17.0,Underweight
7.0,P,0,117.2,19.7,Normal
7.0,L,1,115.4,22.2,Normal
9.0,P,0,131.9,27.1,Normal
7.0,P,0,113.0,19.0,Normal
9.0,L,1,128.9,24.1,Normal
7.0,P,0,117.9,20.4,Normal
6.0,L,1,112.0,20.6,Normal
11.0,P,0,141.1,38.2,Overweight
12.0,L,1,144.0,44.3,Overweight
7.0,P,0,115.4,19.1,Normal
12.0,P,0,148.2,38.6,Normal
8.0,P,0,123.5,26.3,Normal
8.0,P,0,120.8,27.3,Overweight
7.0,P,0,114.0,21.1,Normal
9.0,P,0,129.4,24.4,Normal
8.0,L,1,124.4,28.3,Overweight
8.0,P,0,122.0,23.7,Normal
6.0,P,0,116.0,17.0,Underweight
6.0,L,1,116.0,18.4,Underweight
8.0,L,1,122.2,20.0,Underweight
6.0,L,1,116.7,19.0,Underweight
6.0,L,1,116.8,18.3,Underweight
8.0,L,1,122.8,23.2,Normal
10.0,P,0,138.4,31.8,Normal
10.0,P,0,133.0,27.7,Normal
6.0,L,1,117.1,22.0,Normal
11.0,P,0,137.8,35.5,Overweight
8.0,L,1,121.7,24.9,Normal
6.0,P,0,111.4,18.6,Normal
8.0,L,1,122.2,29.0,Overweight
8.0,L,1,118.3,25.4,Overweight
7.0,P,0,122.6,19.4,Underweight
11.0,L,1,140.5,34.8,Normal
7.0,L,1,123.0,23.6,Normal
8.0,L,1,120.7,25.2,Normal
6.0,L,1,113.2,22.0,Normal
11.0,P,0,137.0,38.1,Overweight
8.0,P,0,122.0,23.4,Normal
6.0,P,0,117.1,17.0,Underweight
9.0,L,1,132.5,29.3,Normal
11.0,L,1,135.5,30.5,Normal
8.0,P,0,125.5,22.3,Normal
10.0,P,0,134.8,31.8,Normal
11.0,P,0,138.5,38.5,Overweight
10.0,L,1,139.6,30.1,Normal
6.0,L,1,117.1,20.9,Normal
12.0,L,1,144.9,44.2,Overweight
8.0,L,1,125.8,22.5,Normal
8.0,P,0,124.7,27.1,Normal
12.0,L,1,141.7,40.0,Overweight
7.0,P,0,119.8,18.0,Underweight
7.0,L,1,121.7,21.9,Normal
8.0,L,1,125.9,23.5,Normal
12.0,L,1,145.2,37.6,Normal
9.0,P,0,129.4,30.5,Overweight
11.0,P,0,141.1,34.6,Normal
7.0,L,1,122.0,18.0,Underweight
6.0,P,0,113.3,17.0,Underweight
10.0,L,1,139.2,29.6,Normal
11.0,L,1,142.6,34.3,Normal
11.0,P,0,137.8,36.8,Overweight
11.0,L,1,138.0,37.0,Overweight
11.0,P,0,143.7,37.8,Overweight
9.0,L,1,124.6,22.0,Normal
6.0,P,0,111.5,22.0,Normal
12.0,P,0,147.3,39.0,Normal
11.0,P,0,143.4,36.2,Normal
9.0,P,0,126.4,28.3,Normal
8.0,L,1,122.2,20.7,Underweight
12.0,P,0,149.0,36.1,Normal
10.0,L,1,128.8,26.4,Normal
8.0,L,1,118.0,20.0,Normal
11.0,L,1,141.4,35.9,Normal
7.0,P,0,118.9,18.6,Underweight
11.0,P,0,139.8,33.2,Normal
10.0,P,0,131.5,31.7,Overweight
12.0,P,0,145.9,45.3,Overweight
6.0,P,0,114.2,17.0,Underweight
7.0,P,0,118.2,25.0,Normal
8.0,L,1,127.0,21.5,Underweight
11.0,L,1,141.4,33.5,Normal
9.0,L,1,127.1,33.2,Overweight
9.0,L,1,125.5,25.7,Normal
10.0,P,0,137.9,27.7,Normal
12.0,P,0,143.1,39.5,Overweight
8.0,L,1,120.9,20.7,Normal
7.0,P,0,119.6,19.5,Underweight
11.0,P,0,137.0,37.1,Overweight
6.0,L,1,113.4,17.0,Underweight
11.0,P,0,137.4,34.5,Overweight
12.0,P,0,145.1,37.7,Normal
11.0,L,1,142.2,42.7,Overweight
12.0,P,0,146.5,47.0,Overweight
8.0,P,0,121.7,22.6,Normal
7.0,L,1,117.7,24.5,Normal
11.0,L,1,144.1,39.4,Overweight
7.0,L,1,114.3,21.4,Normal
10.0,L,1,135.4,31.6,Normal
7.0,P,0,121.1,18.0,Underweight
6.0,L,1,111.6,21.7,Normal
7.0,L,1,117.8,18.5,Underweight
11.0,P,0,138.6,37.8,Overweight
10.0,L,1,137.3,27.0,Normal
10.0,P,0,132.7,26.3,Normal
8.0,P,0,124.3,28.5,Overweight
12.0,L,1,146.5,35.4,Normal
6.0,L,1,112.7,19.5,Normal
12.0,P,0,147.8,35.0,Normal
12.0,L,1,149.3,38.5,Normal
9.0,L,1,131.9,28.8,Normal
12.0,L,1,145.1,43.4,Overweight
9.0,L,1,129.9,27.8,Normal
6.0,P,0,110.5,22.0,Overweight
11.0,L,1,139.0,34.1,Normal
7.0,L,1,115.7,19.7,Normal
10.0,P,0,129.4,29.5,Normal
8.0,P,0,118.7,21.4,Normal
12.0,P,0,142.4,36.4,Normal
7.0,P,0,118.4,20.2,Normal
8.0,P,0,121.5,29.0,Overweight
8.0,P,0,123.5,23.3,Normal
11.0,L,1,139.2,37.0,Overweight
11.0,P,0,146.2,34.1,Normal
10.0,P,0,129.9,33.0,Overweight
10.0,P,0,135.4,33.3,Overweight
7.0,P,0,113.1,22.3,Normal
6.0,L,1,112.7,17.0,Underweight
7.0,P,0,114.2,20.6,Normal
9.0,P,0,132.4,24.8,Normal
10.0,P,0,133.9,31.2,Normal
7.0,P,0,120.3,24.4,Normal
8.0,P,0,123.6,23.9,Normal
7.0,L,1,118.6,18.0,Underweight
9.0,L,1,132.6,25.9,Normal
11.0,L,1,143.0,33.1,Normal
7.0,P,0,118.3,20.0,Normal
10.0,P,0,134.3,35.6,Overweight
6.0,L,1,113.8,19.7,Normal
7.0,P,0,115.8,25.0,Overweight
6.0,P,0,114.8,19.5,Normal
10.0,L,1,129.5,33.2,Overweight
6.0,L,1,117.8,18.3,Underweight
12.0,P,0,148.1,36.9,Normal
9.0,P,0,126.9,33.0,Overweight
6.0,L,1,115.4,17.0,Underweight
11.0,L,1,143.5,42.7,Overweight
6.0,P,0,111.9,17.0,Underweight
7.0,L,1,118.8,19.6,Underweight
9.0,P,0,126.9,22.9,Normal
7.0,L,1,115.9,22.4,Normal
11.0,L,1,138.0,32.4,Normal
9.0,P,0,131.3,29.3,Normal
8.0,P,0,122.0,24.2,Normal
7.0,P,0,118.8,20.4,Normal
9.0,L,1,131.2,22.0,Underweight
12.0,P,0,148.3,35.4,Normal
11.0,L,1,144.8,35.2,Normal
10.0,L,1,137.0,34.4,Overweight
12.0,L,1,148.1,39.2,Normal
11.0,L,1,142.2,33.0,Normal
7.0,P,0,116.2,23.2,Normal
8.0,L,1,126.5,23.5,Normal
7.0,P,0,113.0,25.0,Overweight
9.0,L,1,124.8,30.4,Overweight
10.0,P,0,135.8,35.7,Overweight
10.0,P,0,136.1,36.6,Overweight
7.0,P,0,117.6,18.0,Underweight
9.0,L,1,128.9,31.3,Overweight
6.0,L,1,114.2,22.0,Normal
8.0,L,1,122.3,22.8,Normal
7.0,L,1,114.8,24.8,Overweight
8.0,P,0,120.3,22.5,Normal
8.0,L,1,124.4,21.6,Underweight
11.0,P,0,142.1,31.5,Normal
7.0,P,0,115.5,22.1,Normal
11.0,P,0,135.4,30.2,Normal
9.0,L,1,129.6,31.3,Overweight
9.0,L,1,128.2,27.2,Normal
10.0,L,1,134.3,34.3,Overweight
6.0,P,0,116.7,21.4,Normal
12.0,P,0,149.2,43.7,Overweight
12.0,L,1,145.8,39.5,Overweight
8.0,P,0,123.1,22.6,Normal
8.0,L,1,123.1,24.7,Normal
9.0,P,0,131.3,27.6,Normal
8.0,P,0,126.3,21.0,Underweight
10.0,P,0,136.9,35.3,Overweight
11.0,P,0,141.8,36.9,Overweight
7.0,L,1,113.5,22.0,Normal
8.0,P,0,126.2,29.0,Overweight
6.0,L,1,111.8,20.9,Normal
9.0,P,0,123.5,31.5,Overweight
11.0,P,0,138.2,34.1,Normal
7.0,L,1,116.4,23.4,Normal
12.0,L,1,147.2,38.1,Normal
9.0,L,1,128.2,31.0,Overweight
6.0,L,1,116.2,17.0,Underweight
10.0,L,1,134.8,33.3,Overweight
7.0,L,1,117.2,20.8,Normal
6.0,P,0,114.7,18.7,Normal
6.0,P,0,113.5,17.0,Underweight
6.0,P,0,112.9,20.9,Normal
12.0,P,0,145.8,38.8,Overweight
11.0,L,1,140.9,36.9,Overweight
9.0,L,1,124.3,27.3,Normal
6.0,L,1,115.5,20.1,Normal
9.0,L,1,129.2,25.1,Normal
8.0,L,1,119.2,23.5,Normal
7.0,P,0,120.0,18.0,Underweight
8.0,P,0,127.2,20.0,Underweight
10.0,L,1,135.8,32.3,Normal
6.0,L,1,111.9,21.0,Normal
12.0,P,0,145.8,35.6,Normal
10.0,L,1,134.6,27.9,Normal
9.0,L,1,126.0,29.9,Overweight
12.0,P,0,148.1,35.8,Normal
11.0,P,0,138.1,37.2,Overweight
11.0,L,1,136.9,38.9,Overweight
6.0,P,0,118.0,22.0,Normal
7.0,P,0,117.0,22.5,Normal
10.0,L,1,133.6,31.5,Normal
6.0,P,0,116.9,17.0,Underweight
12.0,L,1,147.0,41.6,Overweight
11.0,L,1,138.2,37.2,Overweight
12.0,L,1,143.5,40.3,Overweight
10.0,P,0,133.8,26.9,Normal
6.0,L,1,113.2,19.9,Normal
11.0,L,1,143.0,30.6,Normal
6.0,L,1,118.0,17.0,Underweight
6.0,P,0,115.1,20.1,Normal
9.0,P,0,129.7,34.0,Overweight
9.0,L,1,131.0,25.3,Normal
12.0,P,0,145.8,42.6,Overweight
10.0,L,1,134.3,27.7,Normal
6.0,P,0,115.8,17.0,Underweight
10.0,L,1,130.0,36.7,Overweight
6.0,P,0,113.5,18.0,Underweight
11.0,P,0,143.4,34.3,Normal
8.0,P,0,127.0,24.4,Normal
6.0,P,0,111.6,17.2,Underweight
6.0,L,1,110.0,19.7,Normal
12.0,P,0,145.1,37.8,Normal
9.0,P,0,127.2,27.7,Normal
8.0,L,1,125.1,28.0,Normal
12.0,L,1,148.9,39.9,Overweight
12.0,P,0,146.7,37.8,Normal
11.0,P,0,140.8,39.2,Overweight
11.0,P,0,142.4,35.4,Normal
10.0,L,1,132.1,30.1,Normal
10.0,P,0,132.5,35.6,Overweight
10.0,P,0,135.6,30.4,Normal
7.0,P,0,118.4,18.0,Underweight
6.0,L,1,118.0,20.1,Normal
6.0,P,0,117.2,22.0,Normal
7.0,L,1,119.0,21.0,Normal
11.0,P,0,139.6,35.7,Overweight
9.0,P,0,125.7,29.2,Overweight
12.0,P,0,145.0,36.0,Normal
10.0,L,1,133.4,33.5,Overweight
10.0,P,0,138.2,29.0,Normal
10.0,P,0,133.8,35.5,Overweight
6.0,L,1,118.0,17.3,Underweight
10.0,P,0,130.0,30.1,Normal
7.0,L,1,115.6,19.3,Normal
9.0,L,1,128.8,32.5,Overweight
8.0,P,0,123.1,25.5,Normal
8.0,L,1,127.0,25.6,Normal
12.0,L,1,147.6,42.1,Overweight
8.0,P,0,124.1,27.1,Normal
6.0,P,0,114.7,22.0,Normal
6.0,L,1,116.1,21.7,Normal
9.0,L,1,125.9,24.8,Normal
7.0,L,1,113.2,19.6,Normal
10.0,L,1,131.5,35.8,Overweight
8.0,L,1,120.4,24.7,Normal
11.0,P,0,139.1,32.0,Normal
7.0,L,1,117.5,18.6,Underweight
8.0,L,1,121.2,22.5,Normal
6.0,P,0,114.2,17.9,Underweight
10.0,L,1,135.2,35.2,Overweight
11.0,P,0,138.4,32.7,Normal
10.0,L,1,133.0,30.6,Normal
7.0,L,1,119.8,24.2,Normal
11.0,L,1,140.9,36.5,Overweight
12.0,P,0,151.3,40.7,Normal
10.0,P,0,136.4,37.5,Overweight
7.0,P,0,118.6,25.0,Normal
12.0,L,1,148.7,38.7,Normal
7.0,P,0,119.4,25.0,Normal
12.0,L,1,144.9,39.6,Overweight
7.0,L,1,120.1,18.0,Underweight
9.0,L,1,130.3,29.8,Normal
9.0,P,0,133.0,28.9,Normal
8.0,P,0,123.4,28.7,Overweight
8.0,L,1,122.6,21.6,Normal
11.0,L,1,140.5,36.1,Overweight
8.0,P,0,122.0,21.4,Normal
9.0,L,1,125.7,29.0,Overweight
10.0,L,1,137.5,33.2,Normal
8.0,P,0,121.5,24.4,Normal
9.0,L,1,126.2,29.6,Overweight
9.0,L,1,126.0,22.7,Normal
11.0,P,0,137.8,33.9,Normal
6.0,P,0,116.2,20.7,Normal
6.0,L,1,112.5,17.0,Underweight
12.0,P,0,145.4,41.6,Overweight
7.0,P,0,114.7,18.0,Underweight
7.0,L,1,117.6,18.0,Underweight
6.0,L,1,114.7,22.0,Normal
7.0,P,0,119.2,23.8,Normal
12.0,L,1,150.6,42.2,Overweight
11.0,L,1,144.8,34.1,Normal
9.0,P,0,126.4,27.4,Normal
6.0,L,1,113.8,17.0,Underweight
7.0,P,0,115.1,24.1,Overweight
12.0,L,1,145.1,38.3,Overweight
9.0,L,1,130.2,31.8,Overweight
9.0,L,1,128.0,25.2,Normal
6.0,P,0,111.2,21.8,Normal
9.0,L,1,126.6,29.6,Overweight
11.0,L,1,142.3,36.8,Overweight
7.0,L,1,117.6,19.0,Underweight
12.0,P,0,149.7,37.0,Normal
11.0,P,0,142.4,37.8,Overweight
9.0,P,0,123.6,25.6,Normal
6.0,L,1,112.6,17.0,Underweight
9.0,L,1,125.5,27.3,Normal
10.0,L,1,131.3,33.3,Overweight
12.0,P,0,145.1,39.2,Overweight
10.0,L,1,133.4,28.9,Normal
11.0,P,0,138.9,40.3,Overweight
7.0,P,0,115.7,18.0,Underweight
7.0,L,1,115.5,23.8,Normal
6.0,P,0,115.1,18.3,Underweight
8.0,P,0,122.7,24.5,Normal
10.0,P,0,137.5,29.4,Normal
11.0,L,1,139.3,33.6,Normal
10.0,P,0,133.1,38.0,Overweight
11.0,L,1,140.7,31.2,Normal
8.0,L,1,123.6,22.2,Normal
10.0,P,0,134.4,32.1,Normal
7.0,L,1,118.2,25.0,Normal
8.0,L,1,120.0,24.7,Normal
7.0,L,1,117.5,23.8,Normal
7.0,L,1,117.8,25.0,Overweight
11.0,P,0,139.8,38.8,Overweight
9.0,L,1,127.1,28.0,Normal
8.0,L,1,122.7,25.4,Normal
8.0,P,0,126.8,22.7,Normal
6.0,L,1,116.4,22.0,Normal
9.0,P,0,128.6,24.0,Normal
11.0,L,1,137.6,34.8,Overweight
11.0,L,1,143.4,40.9,Overweight
12.0,P,0,147.0,37.0,Normal
12.0,L,1,145.8,38.2,Normal
6.0,L,1,110.3,17.0,Underweight
11.0,P,0,143.0,34.3,Normal
9.0,L,1,124.9,30.0,Overweight
12.0,L,1,145.4,40.1,Overweight
10.0,P,0,134.9,31.0,Normal
10.0,P,0,137.2,35.4,Overweight
8.0,P,0,119.8,24.3,Normal
8.0,L,1,118.0,24.9,Normal
7.0,P,0,117.8,23.2,Normal
12.0,P,0,147.6,42.8,Overweight
8.0,L,1,126.2,27.7,Normal
12.0,P,0,148.9,37.3,Normal
12.0,P,0,141.4,39.2,Overweight
7.0,L,1,118.5,25.0,Normal
9.0,L,1,125.8,28.4,Normal
11.0,L,1,141.5,33.7,Normal
8.0,P,0,122.7,25.4,Normal
10.0,P,0,139.6,30.8,Normal
7.0,L,1,113.3,21.9,Normal
7.0,P,0,117.9,25.0,Normal
11.0,P,0,146.0,33.2,Normal
9.0,P,0,129.6,32.4,Overweight
9.0,P,0,127.8,32.1,Overweight
7.0,L,1,118.6,23.1,Normal
8.0,L,1,122.7,28.8,Overweight
8.0,P,0,121.0,21.3,Normal
8.0,L,1,124.1,28.7,Overweight
10.0,P,0,133.5,29.8,Normal
11.0,L,1,143.2,35.5,Normal
6.0,P,0,110.0,17.0,Normal
7.0,L,1,116.7,22.8,Normal
12.0,P,0,145.2,35.9,Normal
11.0,P,0,140.7,36.2,Overweight
11.0,P,0,147.0,36.9,Normal
11.0,L,1,140.3,35.9,Overweight
6.0,L,1,112.6,21.6,Normal
7.0,L,1,122.7,18.2,Underweight
10.0,P,0,134.6,33.3,Overweight
12.0,L,1,145.5,44.4,Overweight
10.0,L,1,132.1,34.6,Overweight
12.0,P,0,142.7,32.2,Normal
7.0,P,0,115.2,21.4,Normal
9.0,L,1,126.8,34.0,Overweight
12.0,L,1,147.2,39.9,Overweight
10.0,P,0,135.2,32.4,Normal
8.0,P,0,124.4,25.8,Normal
7.0,L,1,117.8,22.5,Normal
11.0,L,1,139.8,31.9,Normal
8.0,P,0,121.8,20.0,Underweight
8.0,L,1,122.2,22.1,Normal
8.0,L,1,122.1,26.6,Normal
12.0,P,0,142.7,34.4,Normal
6.0,P,0,111.0,20.1,Normal
11.0,P,0,145.1,37.7,Normal
12.0,P,0,147.4,42.4,Overweight
8.0,L,1,123.6,24.9,Normal
12.0,P,0,145.8,36.8,Normal
9.0,P,0,129.4,23.7,Normal
6.0,L,1,118.0,22.0,Normal
8.0,L,1,124.1,21.7,Normal
10.0,L,1,132.3,30.6,Normal
11.0,P,0,145.6,33.6,Normal
11.0,P,0,142.2,36.7,Overweight
10.0,P,0,132.7,29.8,Normal
8.0,P,0,128.0,21.6,Underweight
11.0,P,0,138.1,34.1,Normal
8.0,L,1,121.7,20.0,Underweight
10.0,P,0,134.3,34.9,Overweight
9.0,P,0,131.6,30.7,Normal
8.0,P,0,118.6,26.0,Overweight
6.0,P,0,118.0,19.2,Underweight
8.0,L,1,121.7,23.9,Normal
7.0,P,0,115.7,20.9,Normal
7.0,L,1,122.2,20.0,Underweight
11.0,L,1,141.2,30.5,Normal
11.0,L,1,140.9,33.3,Normal
6.0,L,1,111.8,21.0,Normal
10.0,P,0,132.7,34.5,Overweight
11.0,L,1,143.4,38.8,Overweight
11.0,L,1,142.8,32.1,Normal
10.0,P,0,133.5,31.6,Normal
11.0,P,0,137.8,35.4,Overweight
7.0,P,0,117.3,23.5,Normal
10.0,L,1,131.5,32.1,Overweight
7.0,P,0,118.7,20.1,Normal
10.0,L,1,135.1,31.2,Normal
7.0,P,0,113.0,20.9,Normal
9.0,P,0,126.9,24.6,Normal
8.0,L,1,121.7,29.0,Overweight
6.0,P,0,111.9,18.0,Normal
10.0,P,0,130.0,33.7,Overweight
12.0,L,1,145.1,35.7,Normal
6.0,L,1,114.8,19.5,Normal
6.0,P,0,116.4,22.0,Normal
8.0,P,0,125.8,25.6,Normal
7.0,P,0,118.6,22.9,Normal
11.0,P,0,142.0,37.2,Overweight
7.0,P,0,120.1,20.3,Normal
9.0,P,0,128.9,23.7,Normal
10.0,L,1,133.9,34.8,Overweight
10.0,P,0,132.3,31.8,Overweight
8.0,P,0,122.2,22.1,Normal
12.0,P,0,147.9,37.3,Normal
7.0,L,1,119.0,18.0,Underweight
11.0,L,1,141.9,35.4,Normal
11.0,L,1,141.0,37.1,Overweight
10.0,P,0,128.0,29.3,Normal
6.0,L,1,116.3,19.2,Normal
12.0,L,1,149.5,38.9,Normal
9.0,P,0,123.0,26.8,Normal
12.0,L,1,143.1,42.9,Overweight
12.0,P,0,146.3,36.2,Normal
6.0,L,1,116.5,21.6,Normal
7.0,L,1,114.9,18.1,Underweight
12.0,L,1,147.5,38.1,Normal
7.0,L,1,114.8,21.8,Normal
7.0,P,0,117.5,20.3,Normal
11.0,P,0,137.0,40.3,Overweight
8.0,L,1,122.8,21.6,Normal
7.0,P,0,119.0,19.2,Underweight
11.0,L,1,138.7,33.6,Normal
11.0,L,1,142.7,37.0,Overweight
7.0,L,1,119.9,25.0,Normal
7.0,P,0,115.4,24.2,Overweight
11.0,L,1,141.9,38.4,Overweight
12.0,P,0,151.2,36.0,Normal
7.0,L,1,117.8,20.9,Normal
7.0,P,0,118.7,22.0,Normal
6.0,L,1,116.1,20.3,Normal
10.0,L,1,132.9,32.7,Overweight
8.0,P,0,122.2,20.0,Underweight
9.0,L,1,126.8,26.4,Normal
12.0,L,1,146.2,41.1,Overweight
11.0,P,0,137.3,38.3,Overweight
11.0,P,0,142.1,37.5,Overweight
10.0,L,1,139.3,29.0,Normal
10.0,P,0,128.5,30.5,Overweight
7.0,P,0,116.1,19.6,Normal
7.0,L,1,116.9,23.3,Normal
8.0,L,1,123.0,23.5,Normal
12.0,P,0,147.9,39.8,Overweight
6.0,L,1,116.9,19.7,Normal
7.0,L,1,120.1,23.6,Normal
12.0,L,1,145.8,40.7,Overweight
10.0,L,1,135.1,30.7,Normal
9.0,P,0,129.0,30.3,Overweight
6.0,P,0,117.0,17.0,Underweight
12.0,P,0,149.8,42.9,Overweight
8.0,P,0,123.0,26.3,Normal
6.0,P,0,118.0,18.3,Underweight
11.0,L,1,144.1,33.3,Normal
9.0,P,0,131.8,34.0,Overweight
6.0,L,1,111.5,21.9,Normal
10.0,P,0,135.3,31.4,Normal
6.0,L,1,118.0,17.9,Underweight
7.0,P,0,115.4,18.0,Underweight
11.0,L,1,146.6,36.4,Normal
7.0,P,0,121.8,25.0,Normal
11.0,L,1,141.5,41.4,Overweight
8.0,L,1,122.2,23.6,Normal
7.0,L,1,113.0,21.3,Normal
8.0,P,0,120.9,21.8,Normal
9.0,L,1,128.2,29.7,Overweight
8.0,L,1,124.1,22.7,Normal
12.0,P,0,145.5,40.3,Overweight
8.0,L,1,120.8,24.5,Normal
7.0,L,1,122.8,18.4,Underweight
10.0,P,0,133.6,34.0,Overweight
10.0,P,0,135.8,33.3,Overweight
11.0,L,1,141.6,30.9,Normal
11.0,P,0,135.0,29.8,Normal
7.0,P,0,114.6,18.9,Normal
11.0,P,0,136.4,40.5,Overweight
11.0,P,0,142.2,36.5,Overweight
7.0,L,1,116.0,21.7,Normal
10.0,L,1,135.4,38.0,Overweight
6.0,P,0,115.3,17.0,Underweight
10.0,P,0,133.7,30.8,Normal
6.0,L,1,111.7,21.6,Normal
11.0,L,1,140.6,34.0,Normal
10.0,L,1,134.4,30.4,Normal
7.0,L,1,116.4,19.9,Normal
11.0,L,1,141.8,34.8,Normal
9.0,L,1,133.0,23.7,Underweight
8.0,L,1,125.3,26.5,Normal
12.0,P,0,144.4,38.1,Overweight
8.0,P,0,123.9,24.6,Normal
12.0,P,0,140.6,39.4,Overweight
12.0,P,0,149.6,36.8,Normal
8.0,L,1,119.8,25.2,Normal
12.0,L,1,145.2,41.7,Overweight
7.0,P,0,121.6,21.8,Normal
9.0,L,1,130.2,32.8,Overweight
11.0,L,1,145.0,29.4,Underweight
11.0,L,1,140.1,29.0,Normal
11.0,P,0,145.0,37.7,Normal
8.0,P,0,118.0,24.6,Normal
9.0,P,0,129.4,28.2,Normal
9.0,L,1,127.2,25.3,Normal
9.0,L,1,131.2,25.2,Normal
12.0,L,1,150.6,34.4,Normal
11.0,L,1,138.3,34.8,Overweight
7.0,P,0,115.9,18.0,Underweight
7.0,L,1,115.2,22.9,Normal
10.0,P,0,133.8,25.0,Underweight
9.0,L,1,131.3,32.0,Overweight
12.0,P,0,144.8,41.3,Overweight
12.0,P,0,146.0,38.5,Overweight
9.0,L,1,129.2,28.1,Normal
6.0,P,0,116.7,17.0,Underweight
7.0,P,0,118.7,23.7,Normal
11.0,L,1,140.1,35.2,Normal
9.0,P,0,129.6,25.4,Normal
7.0,P,0,118.9,18.0,Underweight
8.0,P,0,120.5,26.3,Overweight
6.0,L,1,112.8,18.3,Normal
6.0,L,1,117.3,20.2,Normal
9.0,P,0,124.6,29.8,Overweight
7.0,L,1,117.9,25.0,Normal
12.0,P,0,142.1,37.8,Overweight
7.0,P,0,121.2,23.4,Normal
10.0,L,1,133.0,32.7,Overweight
8.0,L,1,125.3,22.3,Normal
6.0,P,0,112.7,17.0,Underweight
11.0,L,1,141.4,37.2,Overweight
9.0,L,1,123.0,28.5,Overweight
9.0,L,1,130.5,33.2,Overweight
8.0,L,1,119.8,23.3,Normal
